mentee_id,mentee_name,role,interests,goals,topics,style,availability,background,source_mentor_id,source_row_index
T001,Mentee 001,ECE Student,power systems,Learn practical guidance in power systems and prepare for internships/projects.,power systems,"hands-on, structured",Mon evenings,Interested in power systems.,M001,0
T002,Mentee 002,ECE Student,"product/startups, leadership",Learn practical guidance in product/startups and prepare for internships/projects.,"product/startups, leadership","hands-on, structured",Tue evenings,"Interested in product/startups, leadership. Married and new father. Play ice hockey.",M002,1
T003,Mentee 003,ECE Student,"power systems, communications/rf, hardware/semiconductors",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, communications/rf, hardware/semiconductors","hands-on, structured",Wed afternoons,"Interested in power systems, communications/rf, hardware/semiconductors. I am a huge sports fan and love to be active in general -- you can generally find me joining just about every sports recreation league possi",M003,2
T004,Mentee 004,ECE Student,"career growth, engineering skills",Learn practical engineering and career skills from an experienced mentor.,"career growth, engineering skills","hands-on, structured",Thu afternoons,"Interested in career growth, engineering skills. NC State Athletics, Video Games, Biking, Home Server, Married to College Sweatheart, 1 cat, 1 dog. Craft Beer fan",M004,3
T005,Mentee 005,ECE Student,"software engineering, communications/rf, robotics/controls",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, communications/rf, robotics/controls","hands-on, structured",Fri mornings,"Interested in software engineering, communications/rf, robotics/controls. I am passionate about solving business problems through the use of technology. I enjoy helping others and inspiring them to be their best. S",M005,4
T006,Mentee 006,ECE Student,software engineering,Learn practical guidance in software engineering and prepare for internships/projects.,software engineering,"hands-on, structured",Weekends,Interested in software engineering. My personal interest include playing basketball and researching new technology to bring to my organization.,M006,5
T007,Mentee 007,ECE Student,"power systems, leadership",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, leadership","hands-on, structured",Mon evenings,"Interested in power systems, leadership. I am a proud father of two boys (grown and successfully employed), married for 36 years. I recently retired from my last job in Seattle and",M007,6
T008,Mentee 008,ECE Student,"power systems, software engineering",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, software engineering","hands-on, structured",Tue evenings,"Interested in power systems, software engineering. Married 3kids oldest is 9, swimming,coaching sports at the Y, golf,fishing,",M008,7
T009,Mentee 009,ECE Student,"embedded systems, software engineering, machine learning",Learn practical guidance in embedded systems and prepare for internships/projects.,"embedded systems, software engineering, machine learning, communications/rf, hardware/semiconductors, product/startups","hands-on, structured",Wed afternoons,"Interested in embedded systems, software engineering, machine learning. I love traveling and reading, especially about the paranormal or Metaphysical stuff. Roadtrips and camping are always a blast. Discovered ne",M009,8
T010,Mentee 010,ECE Student,"software engineering, communications/rf",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, communications/rf","hands-on, structured",Thu afternoons,"Interested in software engineering, communications/rf. My wife and I reside in San Jose along with our two wonderful kids, a boy and a girl. As a personal interest, I love teaching!",M010,9
T011,Mentee 011,ECE Student,"career growth, engineering skills",Learn practical engineering and career skills from an experienced mentor.,"career growth, engineering skills","hands-on, structured",Fri mornings,"Interested in career growth, engineering skills. Two children, 5 grand children, build my own electronic equipment, have my own EE lab, active amateur radio, continue to explore new areas o",M011,10
T012,Mentee 012,ECE Student,"software engineering, machine learning",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, machine learning","hands-on, structured",Weekends,"Interested in software engineering, machine learning. I love tech blogging",M012,11
T013,Mentee 013,ECE Student,product/startups,Learn practical guidance in product/startups and prepare for internships/projects.,product/startups,"hands-on, structured",Mon evenings,"Interested in product/startups. Surfing in santa cruz, road biking, and i fly a Bonanza A36 that I co own with a few other engineers in the bay area.",M013,12
T014,Mentee 014,ECE Student,"software engineering, cybersecurity",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, cybersecurity","hands-on, structured",Tue evenings,"Interested in software engineering, cybersecurity. I enjoy ice hockey and running, although these days I stay busy entertaining my two young children :D",M014,13
T015,Mentee 015,ECE Student,robotics/controls,Learn practical guidance in robotics/controls and prepare for internships/projects.,robotics/controls,"hands-on, structured",Wed afternoons,Interested in robotics/controls. I like to play hockey and also like hackathons and open source development,M015,14
T016,Mentee 016,ECE Student,hardware/semiconductors,Learn practical guidance in hardware/semiconductors and prepare for internships/projects.,hardware/semiconductors,"hands-on, structured",Thu afternoons,Interested in hardware/semiconductors. I love reading; my genre of choice is sci-fi/fantasy. I've also just started calligraphy as well as bullet journalling!,M016,15
T017,Mentee 017,ECE Student,"robotics/controls, leadership",Learn practical guidance in robotics/controls and prepare for internships/projects.,"robotics/controls, leadership","hands-on, structured",Fri mornings,"Interested in robotics/controls, leadership. I currently live in Chicago, but actually just accepted a new position at Mars and will be relocating to the Atlanta area in the coming mont",M017,16
T018,Mentee 018,ECE Student,"power systems, software engineering, product/startups",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, software engineering, product/startups","hands-on, structured",Weekends,"Interested in power systems, software engineering, product/startups. I'm passionate about the arts, especially music. I play guitar, and I'm in two jazz bands and have been performing in jazz groups since high",M018,17
T019,Mentee 019,ECE Student,"career growth, engineering skills",Learn practical engineering and career skills from an experienced mentor.,"career growth, engineering skills","hands-on, structured",Mon evenings,"Interested in career growth, engineering skills. I love reading all kinds of books. I love to explore new trails around Raleigh. During my free time when I am not doing any of those, you wi",M019,18
T020,Mentee 020,ECE Student,"machine learning, leadership",Learn practical guidance in machine learning and prepare for internships/projects.,"machine learning, leadership","hands-on, structured",Tue evenings,"Interested in machine learning, leadership. Outside of work, I like to spend time outside as much as possible. You'll see me outside hiking, playing tennis, or simply enjoying good wea",M020,19
T021,Mentee 021,ECE Student,"career growth, engineering skills",Learn practical engineering and career skills from an experienced mentor.,"career growth, engineering skills","hands-on, structured",Wed afternoons,"Interested in career growth, engineering skills. I've been married to my wife, also an NCSU ECE graduate, for 23 years. We have three wonderful daughters, two in high school and one in midd",M021,20
T022,Mentee 022,ECE Student,"software engineering, machine learning",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, machine learning","hands-on, structured",Thu afternoons,"Interested in software engineering, machine learning. I am an international student (or I was while I was still studying) and my family stays back in my home country. My top trait is being a lea",M022,21
T023,Mentee 023,ECE Student,leadership,Learn practical guidance in leadership and prepare for internships/projects.,leadership,"hands-on, structured",Fri mornings,Interested in leadership.,M023,22
T024,Mentee 024,ECE Student,software engineering,Learn practical guidance in software engineering and prepare for internships/projects.,software engineering,"hands-on, structured",Weekends,"Interested in software engineering. I live just outside of Washington, D.C. I have two sons 14 and 18. I enjoy working with and building electronics and continuing my life-long",M024,23
T025,Mentee 025,ECE Student,"software engineering, product/startups",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, product/startups","hands-on, structured",Mon evenings,"Interested in software engineering, product/startups. I currently stay in India with my family (Wife & 14 year old son). I follow advances in Agri-Tech and innovations that have the potential to",M025,24
T026,Mentee 026,ECE Student,"power systems, communications/rf, hardware/semiconductors",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, communications/rf, hardware/semiconductors","hands-on, structured",Tue evenings,"Interested in power systems, communications/rf, hardware/semiconductors. Love soccer (Arsenal FC fan big time). Like to stay fit through a range of outdoor activities and sports. Indian citizen, foodie and 9/10 ti",M026,25
T027,Mentee 027,ECE Student,"embedded systems, power systems, software engineering",Learn practical guidance in embedded systems and prepare for internships/projects.,"embedded systems, power systems, software engineering, machine learning, robotics/controls, product/startups, leadership","hands-on, structured",Wed afternoons,"Interested in embedded systems, power systems, software engineering. Hobby software development (Rust low level, some web stuff to stay fresh.. React.JS/Node/C#), gardening (spicy peppers), disc golf (raleigh",M027,26
T028,Mentee 028,ECE Student,"embedded systems, software engineering, communications/rf",Learn practical guidance in embedded systems and prepare for internships/projects.,"embedded systems, software engineering, communications/rf, hardware/semiconductors","hands-on, structured",Thu afternoons,"Interested in embedded systems, software engineering, communications/rf. I'm originally from Pune, India and I have my mother and a younger sister in my family. We lost my father a few years back when he had a sev",M028,27
T029,Mentee 029,ECE Student,"software engineering, machine learning",Learn practical guidance in software engineering and prepare for internships/projects.,"software engineering, machine learning","hands-on, structured",Fri mornings,"Interested in software engineering, machine learning. Writing tech blogs",M029,28
T030,Mentee 030,ECE Student,"power systems, product/startups",Learn practical guidance in power systems and prepare for internships/projects.,"power systems, product/startups","hands-on, structured",Weekends,"Interested in power systems, product/startups. Married 10 years, wife and I had our daughter Elayne during the lockdowns last year. Own a house near downtown Detroit. Avid cyclist, gamer,",M030,29
T031,Mentee 031,ECE Student,hardware/semiconductors,Learn practical guidance in hardware/semiconductors and prepare for internships/projects.,hardware/semiconductors,"hands-on, structured",Mon evenings,"Interested in hardware/semiconductors. Well, I currently live in Apex, with my wife and 2 young boys. In my free time, I enjoy spending time with my family, play soccer with the b",M031,30
T032,Mentee 032,ECE Student,"embedded systems, power systems, machine learning",Learn practical guidance in embedded systems and prepare for internships/projects.,"embedded systems, power systems, machine learning, product/startups","hands-on, structured",Tue evenings,"Interested in embedded systems, power systems, machine learning. I'm a bit of a nerd. I like videogames, anime, and reading. But I do get outdoors! I also enjoy hiking, some good gym time, and the beach. M",M032,31
T033,Mentee 033,ECE Student,machine learning,Learn practical guidance in machine learning and prepare for internships/projects.,machine learning,"hands-on, structured",Wed afternoons,"Interested in machine learning. I enjoy swimming and biking, I love playing video games and am trying to get into photography.",M033,32
T034,Mentee 034,ECE Student,hardware/semiconductors,Learn practical guidance in hardware/semiconductors and prepare for internships/projects.,hardware/semiconductors,"hands-on, structured",Thu afternoons,"Interested in hardware/semiconductors. Hobbies include climbing, reading, and music. I am from the Triangle area and have lived here my whole life, so I have a good familiarity wi",M034,33
T035,Mentee 035,ECE Student,hardware/semiconductors,Learn practical guidance in hardware/semiconductors and prepare for internships/projects.,hardware/semiconductors,"hands-on, structured",Fri mornings,Interested in hardware/semiconductors. I love coding and hiking,M035,34
